block_fips,block_name,town,county,town_fips
090116936002019,Block 2019,Waterford,New London,0901180280
090117024001008,Block 1008,Groton,New London,0901134250
090117054003006,Block 3006,Stonington,New London,0901173770
090118707042013,Block 2013,East Lyme,New London,0901123400
090116933002017,Block 2017,Waterford,New London,0901180280
090117028001003,Block 1003,Groton,New London,0901134250
090117030001020,Block 1020,Groton,New London,0901134250
090116961002013,Block 2013,Norwich,New London,0901156270
090117092002000,Block 2000,Griswold,New London,0901133900
090117001001010,Block 1010,Preston,New London,0901162150
090116934003004,Block 3004,Waterford,New London,0901180280
090117121001020,Block 1020,Franklin,New London,0901129910
090091841013001,Block 3001,Branford,New Haven,0900907310
090093471001012,Block 1012,Prospect,New Haven,0900962290
090091756004003,Block 4003,Wallingford,New Haven,0900978740
090091842001006,Block 1006,Branford,New Haven,0900907310
090093432001002,Block 1002,Cheshire,New Haven,0900914160
090093518001019,Block 1019,Waterbury,New Haven,0900980070
090093451004003,Block 4003,Naugatuck,New Haven,0900949950
090093611005015,Block 5015,Wolcott,New Haven,0900987560
090093516011004,Block 1004,Waterbury,New Haven,0900980070
090010501003000,Block 3000,Westport,Fairfield,0900183500
090010113001017,Block 1017,Greenwich,Fairfield,0900133620
090091754002017,Block 2017,Wallingford,New Haven,0900978740
090117011004006,Block 4006,Ledyard,New London,0901142600
090117021002016,Block 2016,Groton,New London,0901134250
090118701002025,Block 2025,Lebanon,New London,0901142390
090116952023010,Block 3010,Montville,New London,0901148900
090117052003034,Block 3034,Stonington,New London,0901173770
090117025002011,Block 2011,Groton,New London,0901134250
090117161021019,Block 1019,East Lyme,New London,0901123400
090118701003013,Block 3013,Lebanon,New London,0901142390
090116968003010,Block 3010,Norwich,New London,0901156270
090118707041036,Block 1036,East Lyme,New London,0901123400
090118707041030,Block 1030,East Lyme,New London,0901123400
090116933001025,Block 1025,Waterford,New London,0901180280
090117111001030,Block 1030,Sprague,New London,0901171670
090116965001000,Block 1000,Norwich,New London,0901156270
090116965001012,Block 1012,Norwich,New London,0901156270
090116968001007,Block 1007,Norwich,New London,0901156270
090117011003008,Block 3008,Ledyard,New London,0901142600
090118707031050,Block 1050,East Lyme,New London,0901123400
090117121002011,Block 2011,Franklin,New London,0901129910
090116909001006,Block 1006,New London,New London,0901152350
090117054003016,Block 3016,Stonington,New London,0901173770
090117011004003,Block 4003,Ledyard,New London,0901142600
090117141032020,Block 2020,Colchester,New London,0901115910
090117151001000,Block 1000,Salem,New London,0901166210
090116934003005,Block 3005,Waterford,New London,0901180280
090117091003019,Block 3019,Griswold,New London,0901133900
090117091003018,Block 3018,Griswold,New London,0901133900
090117092001005,Block 1005,Griswold,New London,0901133900
090091656003003,Block 3003,Hamden,New Haven,0900935650
090091862002012,Block 2012,North Branford,New Haven,0900953890
090091507003007,Block 3007,Milford,New Haven,0900947535
090091202001018,Block 1018,Derby,New Haven,0900919550
090093612001002,Block 1002,Wolcott,New Haven,0900987560
090093517001006,Block 1006,Waterbury,New Haven,0900980070
090093452021005,Block 1005,Naugatuck,New Haven,0900949950
090093451002003,Block 2003,Naugatuck,New Haven,0900949950
090091252001000,Block 1000,Ansonia,New Haven,0900901220
090093454005009,Block 5009,Naugatuck,New Haven,0900949950
090091708002002,Block 2002,Meriden,New Haven,0900946520
090091707002023,Block 2023,Meriden,New Haven,0900946520
090091802005002,Block 5002,East Haven,New Haven,0900922910
090091862001009,Block 1009,North Branford,New Haven,0900953890
090091758002007,Block 2007,Wallingford,New Haven,0900978740
090093519001002,Block 1002,Waterbury,New Haven,0900980070
090091602003011,Block 3011,Woodbridge,New Haven,0900987700
090091573002031,Block 2031,Orange,New Haven,0900957600
090091758002019,Block 2019,Wallingford,New Haven,0900978740
090091508003000,Block 3000,Milford,New Haven,0900947535
090091903011026,Block 1026,Guilford,New Haven,0900934950
090093452011005,Block 1005,Naugatuck,New Haven,0900949950
090093411004010,Block 4010,Beacon Falls,New Haven,0900903250
090091301011011,Block 1011,Seymour,New Haven,0900967610
090093452021004,Block 1004,Naugatuck,New Haven,0900949950
090091806011008,Block 1008,East Haven,New Haven,0900922910
090091802002000,Block 2000,East Haven,New Haven,0900922910
090091423001009,Block 1009,New Haven,New Haven,0900952070
090093615001014,Block 1014,West Haven,New Haven,0900982870
090091671012009,Block 2009,North Haven,New Haven,0900954870
090091751001000,Block 1000,Wallingford,New Haven,0900978740
090091251001019,Block 1019,Ansonia,New Haven,0900901220
090091505001000,Block 1000,Milford,New Haven,0900947535
090091505002001,Block 2001,Milford,New Haven,0900947535
090091672023016,Block 3016,North Haven,New Haven,0900954870
090093519002044,Block 2044,Waterbury,New Haven,0900980070
090091941021009,Block 1009,Madison,New Haven,0900944560
090012003021007,Block 1007,Bethel,Fairfield,0900104720
090091501002018,Block 2018,Milford,New Haven,0900947535
090093613001004,Block 1004,Wolcott,New Haven,0900987560
090091410002012,Block 2012,New Haven,New Haven,0900952070
090091611003010,Block 3010,Bethany,New Haven,0900904580
090010217021007,Block 1007,Stamford,Fairfield,0900173070
090010721003016,Block 3016,Bridgeport,Fairfield,0900108070
090091942014017,Block 4017,Madison,New Haven,0900944560
090091673013009,Block 3009,North Haven,New Haven,0900954870
090091903011018,Block 1018,Guilford,New Haven,0900934950
090091902003010,Block 3010,Guilford,New Haven,0900934950
090091672013003,Block 3003,North Haven,New Haven,0900954870
090093452011002,Block 1002,Naugatuck,New Haven,0900949950
090091941011025,Block 1025,Madison,New Haven,0900944560
090091902002006,Block 2006,Guilford,New Haven,0900934950
090091671012007,Block 2007,North Haven,New Haven,0900954870
090093612002026,Block 2026,Wolcott,New Haven,0900987560
090091841013010,Block 3010,Branford,New Haven,0900907310
090091426041015,Block 1015,New Haven,New Haven,0900952070
090091673011000,Block 1000,North Haven,New Haven,0900954870
090091801012008,Block 2008,East Haven,New Haven,0900922910
090091602003017,Block 3017,Woodbridge,New Haven,0900987700
090091654001013,Block 1013,Hamden,New Haven,0900935650
090091709002011,Block 2011,Meriden,New Haven,0900946520
090091253002020,Block 2020,Ansonia,New Haven,0900901220
090091504001001,Block 1001,Milford,New Haven,0900947535
090091903032005,Block 2005,Guilford,New Haven,0900934950
090091903033016,Block 3016,Guilford,New Haven,0900934950
090093520002023,Block 2023,Waterbury,New Haven,0900980070
090093612002007,Block 2007,Wolcott,New Haven,0900987560
090091602002001,Block 2001,Woodbridge,New Haven,0900987700
090091510004004,Block 4004,Milford,New Haven,0900947535
090010905002031,Block 2031,Trumbull,Fairfield,0900177200
090091405003002,Block 3002,New Haven,New Haven,0900952070
090093525002008,Block 2008,Waterbury,New Haven,0900980070
090091427004023,Block 4023,New Haven,New Haven,0900952070
090091658022005,Block 2005,Hamden,New Haven,0900935650
090010440003004,Block 3004,Norwalk,Fairfield,0900156060
090010441002015,Block 2015,Norwalk,Fairfield,0900156060
090010437001003,Block 1003,Norwalk,Fairfield,0900156060
090010551003005,Block 3005,Weston,Fairfield,0900183430
090012454001003,Block 1003,Ridgefield,Fairfield,0900163970
090091541011023,Block 1023,West Haven,New Haven,0900982870
090091548003007,Block 3007,West Haven,New Haven,0900982870
090093431013008,Block 3008,Cheshire,New Haven,0900914160
090093611005016,Block 5016,Wolcott,New Haven,0900987560
090091708004002,Block 4002,Meriden,New Haven,0900946520
090091423002001,Block 2001,New Haven,New Haven,0900952070
090091510003015,Block 3015,Milford,New Haven,0900947535
090091941011020,Block 1020,Madison,New Haven,0900944560
090091846002033,Block 2033,Branford,New Haven,0900907310
090093509001004,Block 1004,Waterbury,New Haven,0900980070
090093521003006,Block 3006,Waterbury,New Haven,0900980070
090093434004005,Block 4005,Cheshire,New Haven,0900914160
090010451024033,Block 4033,Wilton,Fairfield,0900186370
090010206003010,Block 3010,Stamford,Fairfield,0900173070
090010615003013,Block 3013,Fairfield,Fairfield,0900126620
