block_fips,block_name,town,county,town_fips
090010444002000,Block 2000,Norwalk,Fairfield,0900156060
090135306002041,Block 2041,Vernon,Tolland,0901378250
090118707011029,Block 1029,East Lyme,New London,0901123400
090117141042037,Block 2037,Colchester,New London,0901115910
090052536001000,Block 1000,New Milford,Litchfield,0900552630
090138902012081,Block 2081,Union,Tolland,0901377830
090012453002010,Block 2010,Ridgefield,Fairfield,0900163970
090093411002007,Block 2007,Beacon Falls,New Haven,0900903250
090052661002044,Block 2044,Kent,Litchfield,0900540290
090010506001024,Block 1024,Westport,Fairfield,0900183500
090011106002000,Block 2000,Derby,New Haven,0900919550
090011103013004,Block 3004,Shelton,Fairfield,0900168170
090010204001020,Block 1020,Stamford,Fairfield,0900173070
090012571002019,Block 2019,Sherman,Fairfield,0900168310
090091302004000,Block 4000,Seymour,New Haven,0900967610
090093523002039,Block 2039,Waterbury,New Haven,0900980070
090052931001022,Block 1022,Colebrook,Litchfield,0900516050
090076102002020,Block 2020,Clinton,Middlesex,0900715350
090116601013025,Block 3025,Old Lyme,New London,0901157040
090118707043029,Block 3029,East Lyme,New London,0901123400
090091941001115,Block 1115,County subdivisions not defined,,
090119800001010,Block 1010,Ledyard,New London,0901142600
090117021002057,Block 2057,Groton,New London,0901134250
090012052001000,Block 1000,Brookfield,Fairfield,0900108980
090116601024009,Block 4009,Old Lyme,New London,0901157040
090034664001001,Block 1001,Simsbury,Hartford,0900368940
090117161023051,Block 3051,East Lyme,New London,0901123400
090053107001034,Block 1034,Torrington,Litchfield,0900576570
090093525002002,Block 2002,Waterbury,New Haven,0900980070
090034602031012,Block 1012,Farmington,Hartford,0900327600
090159081001001,Block 1001,Sterling,Windham,0901573420
090159041003012,Block 3012,Killingly,Windham,0901540500
090119901000009,Block 0009,Groton,New London,0901134250
090135261022030,Block 2030,Hebron,Tolland,0901337910
090010551001001,Block 1001,Weston,Fairfield,0900183430
090052632002149,Block 2149,Cornwall,Litchfield,0900517240
090010223002004,Block 2004,Stamford,Fairfield,0900173070
090052661002067,Block 2067,Kent,Litchfield,0900540290
090053005001092,Block 1092,Litchfield,Litchfield,0900543370
090076802002000,Block 2000,Middletown,Middlesex,0900747360
090053202003036,Block 3036,Winchester,Litchfield,0900586440
090116936002030,Block 2030,Waterford,New London,0901180280
090119901000019,Block 0019,East Lyme,New London,0901123400
090093481231035,Block 1035,Southbury,New Haven,0900969640
090011101001021,Block 1021,Shelton,Fairfield,0900168170
090076801004048,Block 4048,Westbrook,Middlesex,0900781680
090117053002028,Block 2028,Stonington,New London,0901173770
090117081002037,Block 2037,Voluntown,New London,0901178600
090076101002000,Block 2000,Clinton,Middlesex,0900715350
090012203003011,Block 3011,New Fairfield,Fairfield,0900150860
090076801004052,Block 4052,Westbrook,Middlesex,0900781680
090091201003014,Block 3014,Derby,New Haven,0900919550
090116964001047,Block 1047,Norwich,New London,0901156270
090091541001033,Block 1033,West Haven,New Haven,0900982870
090034735021021,Block 1021,Windsor,Hartford,0900387000
090010108002004,Block 2004,Greenwich,Fairfield,0900133620
090117161012007,Block 2007,East Lyme,New London,0901123400
090053004002023,Block 2023,Litchfield,Litchfield,0900543370
090035025001023,Block 1023,Hartford,Hartford,0900337070
090117030003000,Block 3000,Groton,New London,0901134250
090012571001033,Block 1033,Sherman,Fairfield,0900168310
090159002003051,Block 3051,Thompson,Windham,0901575870
090034771011019,Block 1019,Suffield,Hartford,0900374540
090010107003005,Block 3005,Greenwich,Fairfield,0900133620
090076701002000,Block 2000,Old Saybrook,Middlesex,0900757320
090076201004021,Block 4021,Deep River,Middlesex,0900719130
090076001001016,Block 1016,Chester,Middlesex,0900714300
090010352001021,Block 1021,New Canaan,Fairfield,0900150580
090052961001041,Block 1041,Goshen,Litchfield,0900532290
090052984002060,Block 2060,Harwinton,Litchfield,0900537280
090093442001008,Block 1008,Middlebury,New Haven,0900946940
090010703001033,Block 1033,Bridgeport,Fairfield,0900108070
090010112001019,Block 1019,Greenwich,Fairfield,0900133620
090091505003021,Block 3021,Milford,New Haven,0900947535
090076702003076,Block 3076,Old Saybrook,Middlesex,0900757320
090076102003008,Block 3008,Clinton,Middlesex,0900715350
090010204001003,Block 1003,Stamford,Fairfield,0900173070
090034101013026,Block 3026,Burlington,Hartford,0900310100
090091302005027,Block 5027,Seymour,New Haven,0900967610
090010112001003,Block 1003,Greenwich,Fairfield,0900133620
090034002003022,Block 3022,Berlin,Hartford,0900304300
090034926002003,Block 2003,Wethersfield,Hartford,0900384900
090158301005017,Block 5017,Ashford,Windham,0901501430
090034054022003,Block 2003,Bristol,Hartford,0900308490
090159025001041,Block 1041,Pomfret,Windham,0901561030
090076102002018,Block 2018,Clinton,Middlesex,0900715350
090138811003011,Block 3011,Mansfield,Tolland,0901344910
090118707011061,Block 1061,East Lyme,New London,0901123400
090159045002018,Block 2018,Killingly,Windham,0901540500
090076301004037,Block 4037,Essex,Middlesex,0900726270
090010744003006,Block 3006,Bridgeport,Fairfield,0900108070
090034806002001,Block 2001,Enfield,Hartford,0900325990
090010443003008,Block 3008,Norwalk,Fairfield,0900156060
090076102004002,Block 4002,Clinton,Middlesex,0900715350
090117053001012,Block 1012,Stonington,New London,0901173770
090138502005002,Block 5002,Coventry,Tolland,0901317800
090117151002061,Block 2061,Salem,New London,0901166210
090138601004005,Block 4005,Columbia,Tolland,0901316400
090053202001017,Block 1017,Winchester,Litchfield,0900586440
090052661001042,Block 1042,Kent,Litchfield,0900540290
090012052002000,Block 2000,Brookfield,Fairfield,0900108980
090117052001055,Block 1055,Stonington,New London,0901173770
090117029002039,Block 2039,Groton,New London,0901134250
090117011004021,Block 4021,Ledyard,New London,0901142600
090053202004011,Block 4011,Winchester,Litchfield,0900586440
090091801001007,Block 1007,East Haven,New Haven,0900922910
090012201002016,Block 2016,New Fairfield,Fairfield,0900150860
090053202001001,Block 1001,Winchester,Litchfield,0900586440
090158005005014,Block 5014,Windham,Windham,0901586790
090159022001015,Block 1015,Eastford,Windham,0901521860
090159022001124,Block 1124,Eastford,Windham,0901521860
090093615001001,Block 1001,New Haven,New Haven,0900952070
090159001001023,Block 1023,Thompson,Windham,0901575870
